id,name,authors,original_price,price,categories,all_time_quantity_sold,rating_average,review_count,pages,manuafacture
74021317,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,75500,Sách tiếng Việt,72808,5,13292,244.00,Nhà Xuất Bản Hội Nhà Văn
188940817,Vị Thần Của Những Quyết Định,Universe,79000,63000,Sách chiêm tinh - horoscope - khác,2,0,0,320.00,Nhà Xuất Bản Thế Giới
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Lê Bảo Ngọc,128000,115000,Sách tư duy - Kỹ năng sống,,0,0,296.00,Nhà Xuất Bản Thế Giới
26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",Tống Mặc,89000,50730,Sách tiếng Việt,74507,4.8,7206,264.00,Nhà Xuất Bản Thế Giới
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,179000,116000,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,25929,4.8,5429,424.00,Nhà Xuất Bản Thế Giới
174301838,BỘ BOOKMARK 1% TINH HOA,,49000,49000,Bookmark giấy,3139,4.8,18,,
52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,79000,55200,Tác Phẩm Kinh Điển Nước Ngoài,34067,5,5883,228.00,Nhà Xuất Bản Hà Nội
69764541,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),Khương Nguy,98000,70500,Sách tiếng Việt,16359,5,2782,276.00,Nhà Xuất Bản Hà Nội
174444163,"Dear, Darling",Hiên,88000,76560,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,120,5,13,200.00,Nhà Xuất Bản Phụ Nữ Việt Nam
73207240,Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,Delia Owens,165000,132000,Tiểu Thuyết Phương Tây,4261,5,648,508.00,NXB Trẻ
121635154,Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark),Thought Catalog,72000,51700,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,5494,4.8,625,160.00,Nhà Xuất Bản Hà Nội
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Ocean Vuong,135000,101000,Sách tiếng Việt,14371,4.8,2002,304.00,Nhà Xuất Bản Hội Nhà Văn
3954355,Yêu Những Điều Không Hoàn Hảo,Hae Min,139000,97200,Nhà Sách Tiki,40055,5,3932,300.00,Nhà Xuất Bản Thế Giới
73787185,Những Tù Nhân Của Địa Lý,Tim Marshall,210000,166000,Sách tiếng Việt,22473,4.8,4082,430.00,Nhà Xuất Bản Hội Nhà Văn
117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,240000,180000,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,13070,5,2368,322.00,Nhà Xuất Bản Hội Nhà Văn
42230121,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,Minh Niệm,158000,130000,Sách tiếng Việt,35602,4.8,3662,480.00,Nhà Xuất Bản Tổng hợp TP.HCM
46240929,Rèn Luyện Tư Duy Phản Biện,Albert Rutherford,99000,61380,Sách tiếng Việt,30608,4.8,4782,204.00,Nhà Xuất Bản Phụ Nữ
117238177,Thư Viện Nửa Đêm,Matt Haig,150000,130500,Sách tiếng Việt,71,4.7,12,424.00,Nhà Xuất Bản Hội Nhà Văn
143217512,Điềm Tĩnh Và Nóng Giận,Tạ Quốc Kế,96000,67100,Sách tiếng Việt,10913,4.8,1127,224.00,Nhà Xuất Bản Thế Giới
72882553,Kỷ Luật Tự Giác (Tặng Kèm Bookmark ),Tiểu Dã,84000,58900,Sách tiếng Việt,11675,4.8,2104,216.00,Nhà Xuất Bản Thế Giới
195801653,Chú Thuật Hồi Chiến - Tập 6,Gege Akutami,30000,25800,"Truyện Tranh, Manga, Comic",3168,5,794,192.00,Nhà Xuất Bản Kim Đồng
157432544,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),Mai Lan Hương,220000,143000,Ngữ pháp Tiếng Anh,10397,5,1464,560.00,Nhà Xuất Bản Đà Nẵng
121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),Yoo Eun Jung,119000,73780,Sách tiếng Việt,11994,5,1753,304.00,Nhà Xuất Bản Dân Trí
190861557,Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,Kulzsc,132000,79100,Sách Tô Màu Dành Cho Người Lớn,5365,5,895,168.00,Nhà Xuất Bản Phụ Nữ
196515658,Blue Period - Tập 04,Yasuhisa Hara,48000,36000,"Truyện Tranh, Manga, Comic",916,5,167,192.00,NXB Trẻ
193151000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",,599000,599000,Sách tiếng Việt,963,4.7,130,836.00,Nhà Xuất Bản Thế Giới
72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,Jo Hemmings,300000,210000,Sách tiếng Việt,16046,4.8,3394,247.00,Nhà Xuất Bản Thế Giới
195969664,Tokyo Revengers - Tập 4,Ken Wakui,115000,57600,"Truyện Tranh, Manga, Comic",938,5,202,394.00,Nhà Xuất Bản Hà Nội
8885999,Totto - Chan Bên Cửa Sổ (Tái Bản),Kuroyanagi Tetsuko,98000,75400,Sách tiếng Việt,21953,5,2083,359.00,Nhà Xuất Bản Văn Học
68585576,"Càng Kỷ Luật, Càng Tự Do",Ca Tây,109000,78400,Sách tiếng Việt,21407,4.8,3557,288.00,Nhà Xuất Bản Thế Giới
106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,Diệp Hồng Vũ,145000,94200,Sách tiếng Việt,22303,4.8,6126,280.00,Nhà Xuất Bản Thanh Niên
145288029,Xứ Cát,Frank Herbert,249000,144420,Sách tiếng Việt,7547,4.7,1288,714.00,Nhà Xuất Bản Hội Nhà Văn
111285062,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),Dale Carnegie,86000,53400,Nhà Sách Tiki,10822,4.8,1064,320.00,Nhà Xuất Bản Tổng hợp TP.HCM
85763211,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),Bạch Tô,99000,77300,Sách tiếng Việt,884,5,179,320.00,Nhà Xuất Bản Văn Học
194960721,Blue Period - Tập 03,Yamaguchi Tsubasa,48000,36000,Root,1417,5,256,192.00,NXB Trẻ
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,105000,81800,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,32610,5,4667,358.00,Nhà Xuất Bản Hội Nhà Văn
10095276,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,Ken Mogi,90000,71000,Sách tiếng Việt,8839,4.8,708,199.00,Nhà Xuất Bản Thế Giới
113530805,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),Rosie Nguyễn,90000,65600,Sách tư duy - Kỹ năng sống,10144,4.8,1489,291.00,Nhà Xuất Bản Hội Nhà Văn
168283405,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),Song Hong Bing,165000,106000,Sách tài chính - khác,6615,5,757,532.00,Nhà Xuất Bản Lao Động
161008715,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),David R.Hawkins,179000,116350,Kiến Thức Bách Khoa,6085,5,537,398.00,Nhà Xuất Bản Thế Giới
54614797,"Có Một Ngày, Bố Mẹ Sẽ Già Đi",Nhiều tác giả,96000,72000,Nhà Sách Tiki,805,5,199,296.00,Nhà Xuất Bản Thế Giới
3639597,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),Hae Min,85000,63700,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,47882,4.8,3967,256.00,Nhà Xuất Bản Hội Nhà Văn
4780917,Người Đua Diều (Tái Bản 2018),Khaled Hosseini,129000,102000,Tiểu Thuyết Phương Đông,21136,4.8,2594,460.00,Nhà Xuất Bản Hội Nhà Văn
